timestamp,group,tar,scientific,birdnet,tar_sex,alarm,flock,flock_sex,flock_proximity,aux_response,auxID,tar_add_to_flock
230715-162200,msf,haru,Habia rubica,Habia rubica,,0,haru,f,,,,0
230715-162200,msf,haru,Habia rubica,Habia rubica,,0,phpy,u,,,,0
230715-162200,msf,haru,Habia rubica,Habia rubica,,0,haru,,,,,1
230717-062424,solo,foan,Formicarius analis,Formicarius analis,,0,na,,,,,0
230717-074338,solo,cyar,Cyphorhinus arada,Cyphorhinus arada,,0,na,,,,,0
230717-082845,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,myax,u,,,,0
230717-082845,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,thar,u,,,,0
230717-082845,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,xigu,,,,,1
230717-104725,solo,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,0,na,,,,,0
230718-081348,msf,hyma,Hypocnemoides maculicauda,Hypocnemoides maculicauda,,0,hyma,u,,,,0
230718-081348,msf,hyma,Hypocnemoides maculicauda,Hypocnemoides maculicauda,,0,myhy,f,,,,0
230718-081348,msf,hyma,Hypocnemoides maculicauda,Hypocnemoides maculicauda,,0,moni,u,,,,0
230718-081348,msf,hyma,Hypocnemoides maculicauda,Hypocnemoides maculicauda,,0,hyma,,,,,1
230718-092541,pair,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,1,mylo,m,,,,0
230718-092541,pair,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,1,mylo,,,,,1
230718-105211,msf,haru,Habia rubica,Habia rubica,,0,haru,m,,,,0
230718-105211,msf,haru,Habia rubica,Habia rubica,,0,mylo,u,,,,0
230718-105211,msf,haru,Habia rubica,Habia rubica,,0,haru,,,,,1
230718-131702,msf,trme,Trogon melanurus,Trogon melanurus,,0,thsy,m,,,,0
230718-131702,msf,trme,Trogon melanurus,Trogon melanurus,,0,thsy,f,,,,0
230718-131702,msf,trme,Trogon melanurus,Trogon melanurus,,0,xemi,u,,,,0
230718-131702,msf,trme,Trogon melanurus,Trogon melanurus,,0,trme,,,,,1
230719-081034,pair,trco,Trogon collaris,Trogon collaris,,0,trco,f,,,,0
230719-081034,pair,trco,Trogon collaris,Trogon collaris,,0,trco,,,,,1
230719-100529,solo,nalo,Nasica longirostris,Nasica longirostris,,0,na,,,,,0
230719-103206,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,mylo,f,,,,0
230719-103206,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,mylo,m,,,,0
230719-103206,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,phni,u,,,,0
230719-103206,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,xigu,u,,,,0
230719-103206,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,phma,u,,,,0
230719-103206,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,pher,u,,,,0
230719-103206,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,thar,,,,,1
230719-110055,msf,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,0,myme,m,,,,0
230719-110055,msf,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,0,thar,f,,,,0
230719-110055,msf,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,0,xigu,u,,,,0
230719-110055,msf,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,0,mylo,f,,,,0
230719-110055,msf,mylo,Myrmotherula longipennis,Myrmotherula longipennis,,0,mylo,,,,,1
230719-115914,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,hyma,m,,,,0
230719-115914,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,hyma,f,,,,0
230719-115914,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myle,m,,,,0
230719-115914,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myle,f,,,,0
230719-115914,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,cale,u,,,,0
230719-115914,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,,,,,0
230720-061454,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,myhy,m,,,,0
230720-061454,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,myle,m,,,,0
230720-061454,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,myle,,,,,1
230720-065002,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,0,crun,u,,,,0
230720-065002,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,0,myle,,,,,1
230720-072446,pair,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,0,myle,m,,,,0
230720-072446,pair,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,0,myle,,,,,1
230720-080442,solo,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,na,na,,,,0
230720-091827,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,sche,m,,,,0
230720-091827,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,f,,,,0
230720-091827,msf,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,,,,,1
230721-073705,solo,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,na,na,,,,0
230721-095248,pair,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,m,,,,0
230721-095248,pair,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,,,,,1
230722-071909,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,m,,,,0
230722-071909,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,m,,,,0
230722-071909,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,m,,,,0
230722-071909,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,f,,,,0
230722-071909,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,,,,,1
230722-100956,pair,tasc,Tangara schrankii,Tangara schrankii,,0,tasc,f,,,,0
230722-100956,pair,tasc,Tangara schrankii,Tangara schrankii,,0,tasc,,,,,0
230722-120847,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,myax,m,,,,0
230722-120847,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,teer,u,,,,0
230722-120847,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,myax,,,,,1
